,Zip Code,Year,Median Income (dollars)
902,75243,2011,38205.0
903,75243,2012,37395.20833333333
904,75243,2013,36295.08333333333
905,75243,2014,35979.75
906,75243,2015,36030.58333333333
907,75243,2016,36566.375
908,75244,2011,70308.0
909,75244,2012,69392.04166666667
910,75244,2013,70847.58333333333
911,75244,2014,72276.20833333333
912,75244,2015,74368.29166666667
913,75244,2016,76942.58333333333
914,75246,2011,37095.0
915,75246,2012,36793.291666666664
916,75246,2013,34217.5
917,75246,2014,34010.083333333336
918,75246,2015,34332.5
919,75246,2016,29250.833333333332
920,75247,2011,23026.0
921,75247,2012,22798.5
922,75247,2013,23248.958333333332
923,75247,2014,20344.208333333332
924,75247,2015,16208.875
925,75247,2016,15746.666666666666
926,75248,2011,72214.0
927,75248,2012,72529.79166666667
928,75248,2013,72425.41666666667
929,75248,2014,70287.75
930,75248,2015,70906.25
931,75248,2016,73733.83333333333
932,75249,2011,59840.0
933,75249,2012,59062.708333333336
934,75249,2013,57777.75
935,75249,2014,55284.541666666664
936,75249,2015,52875.416666666664
937,75249,2016,51978.75
938,75251,2011,65388.0
939,75251,2012,65728.16666666667
940,75251,2013,61017.5
941,75251,2014,58648.625
942,75251,2015,64372.166666666664
943,75251,2016,62712.25
944,75252,2011,54234.0
